Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,FUET-4020,1,FUET-4020,C391027
"C1, C30, C31, C32",0402,4,4.7uF,C307423
"C10, C11, C12, C13, C14, C15, C17, C19, C2, C20, C21, C22, C23, C24, C25, C26, C29, C3, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C6, C7",0201,38,100nF,C49062
"C16, C18",0201,2,1uF,C318542
"C27, C28, C36",0402,3,2.2uF,C170151
"C33, C34, C35",0402,3,10uF,C307415
"C53, C54",0402,2,22uF,C105226
"C8, C9",0201,2,10pF,C384956
"D1, D5, D6",D_SOD-323,3,B5819W,C22624
D2,0402,1,Red,C130719
D3,0402,1,Yellow,C130721
D4,0402,1,Green,C130722
IC1,STM32F746NGH6,1,STM32F746NGH6,C503080
"J1, J10, J11, J3, J5, J6",JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,6,BM06B-GHS-TBT,C189892
"J12, J13, J17",PinHeader_1x03_P2.54mm_Vertical,3,PinHeader 2.54mm,
J14,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,SM06B-SRSS-TB,C160405
J15,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,XH_B4B,C37815
J16,JST_ZH_S4B-ZR-SM4A-TF_1x04-1MP_P1.50mm_Horizontal,1,ZH 1.5mm 4P,C485354
J18,PWM_Conn_3x08,1,PWM_Conn_3x08,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_USB2.0_16P,C2765186
J4,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,DM3AT-SF-PEJM5,C114218
"J7, J8, J9",JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,3,BM04B-GHS-TBT,C161692
"L1, L2, L3",VLS201610ET-2R2M,3,2.2u,C114768
Q1,Nexperia_SOT1118,1,PMDPB30XN,C478009
"R1, R2, R22, R23, R30, R4, R5, R6",0201,8,120,C295718
"R10, R20, R21",0402,3,1k5,C25867
"R11, R12",0402,2,267k,C2998050
"R13, R14, R15, R16, R17, R18, R19, R24, R25, R26, R27, R28, R29, R3, R31, R33, R7",0201,17,10k,C106225
R32,0402,1,1k,C106235
"R8, R9",0402,2,5k1,C25905
U1,SOT-23-6,1,USBLC6-2SC6,C7519
U10,USON_LUXIG_TR_HandSolder,1,W25Q32JVUUIQ,C401661
"U11, U12",VDFN8_3X3_MCH-L,2,ATA6561-GBQW,C617297
"U2, U3, U4",Texas_DSBGA-6_0.855x1.255mm_Layout2x3_P0.4mm_LevelC,3,TPS62840YBG,C2071139
"U5, U6",ICM-45686,2,ICM-45686,C22459454
U7,BMM350,1,BMM350,C17225907
U8,ICP-20100,1,ICP-20100,C5343527
U9,BMP390,1,BMP390L,C2684802
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,16MHz,C1985423
