Designator,Mid X,Mid Y,Rotation,Layer
BZ1,119.0,-125.0,0.0,top
C1,136.0,-94.5,180.0,top
C10,87.275,-69.71,0.0,top
C11,90.145,-61.83,0.0,top
C12,90.145,-63.8,0.0,top
C13,90.145,-65.77,0.0,top
C14,86.445,-74.07,0.0,top
C15,86.445,-76.04,0.0,top
C16,86.445,-78.01,0.0,top
C17,86.445,-79.98,0.0,top
C18,54.565,-76.83,0.0,top
C19,54.565,-78.8,0.0,top
C2,84.405,-63.8,0.0,top
C20,149.0,-114.27,90.0,top
C21,147.5,-111.5,180.0,top
C22,151.0,-113.75,270.0,top
C23,147.52,-110.5,180.0,top
C24,152.48,-116.5,0.0,top
C25,66.035,-33.52,0.0,top
C26,68.905,-23.67,0.0,top
C27,68.905,-25.64,0.0,top
C28,68.905,-27.61,0.0,top
C29,68.905,-29.58,0.0,top
C3,84.405,-65.77,0.0,top
C30,68.905,-31.55,0.0,top
C31,58.425,-54.71,0.0,top
C32,58.425,-56.68,0.0,top
C33,58.425,-58.65,0.0,top
C34,58.425,-60.62,0.0,top
C4,135.5,-100.0,180.0,top
C5,137.52,-101.25,180.0,top
C6,87.275,-61.83,0.0,top
C7,87.275,-63.8,0.0,top
C8,87.275,-65.77,0.0,top
C9,87.275,-67.74,0.0,top
D1,87.57,-51.24,0.0,top
D2,79.64,-64.91,0.0,top
D3,87.57,-53.23,0.0,top
D4,87.57,-55.22,0.0,top
D5,85.59,-84.55,0.0,top
D6,85.59,-87.5,0.0,top
J1,171.0,-89.0,270.0,top
J10,131.0,-68.0,0.0,top
J11,143.0,-68.0,0.0,top
J12,154.0,-68.0,0.0,top
J13,144.0,-75.0,0.0,top
J14,154.0,-75.0,0.0,top
J15,131.0,-75.0,0.0,top
J2,171.5,-100.5,90.0,top
J3,131.0,-131.0,180.0,top
J4,167.0,-74.0,180.0,top
J5,168.89,-130.0,270.0,top
J6,156.27,-130.0,270.0,top
J7,129.96,-118.73,180.0,top
J8,128.5,-96.0,90.0,top
J9,128.0,-107.0,90.0,top
L1,135.0,-140.675,90.0,top
L2,135.0,-145.675,90.0,top
Q1,123.035,-125.565,90.0,top
R1,84.425,-45.92,0.0,top
R10,83.555,-78.06,0.0,top
R11,83.555,-80.05,0.0,top
R12,83.555,-82.04,0.0,top
R13,51.675,-76.84,0.0,top
R14,51.675,-78.83,0.0,top
R15,51.675,-80.82,0.0,top
R16,51.675,-82.81,0.0,top
R17,51.675,-84.8,0.0,top
R18,57.585,-35.96,0.0,top
R2,137.5,-100.0,0.0,top
R21,57.585,-37.95,0.0,top
R22,47.935,-68.87,0.0,top
R23,47.935,-70.86,0.0,top
R24,47.935,-72.85,0.0,top
R25,50.845,-68.87,0.0,top
R26,50.845,-70.86,0.0,top
R27,50.845,-72.85,0.0,top
R28,53.755,-68.87,0.0,top
R29,53.755,-70.86,0.0,top
R3,150.0,-110.49,90.0,top
R30,53.755,-72.85,0.0,top
R31,84.425,-59.85,0.0,top
R33,57.585,-39.94,0.0,top
R34,57.585,-41.93,0.0,top
R4,84.425,-51.89,0.0,top
R5,84.425,-53.88,0.0,top
R6,84.425,-55.87,0.0,top
R7,84.425,-57.86,0.0,top
R8,83.555,-74.08,0.0,top
R9,83.555,-76.07,0.0,top
TP1,120.0,-84.27,0.0,top
TP2,188.0,-110.0,0.0,top
TP3,192.15,-110.0,0.0,top
U1,150.0,-100.0,270.0,top
U10,144.0,-81.0,90.0,top
U11,154.0,-81.0,90.0,top
U2,164.05,-100.5,270.0,top
U3,140.2,-140.36,0.0,top
U4,144.8,-140.4,0.0,top
U5,157.751294,-84.5707,90.0,top
U6,147.0,-114.0,90.0,top
U7,153.0,-114.0,270.0,top
U8,147.0,-120.0,0.0,top
U9,153.0,-120.0,180.0,top
Y1,136.0,-97.25,270.0,top
